Place_ID,Operator,Bussiness_Status,Location_Name,Address,Latitude,Longitude,Usage,Number_of_Connectors,Min_Power_kW,Max_Power_kW,Max_Charging_Type,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
254559,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, N1 1TW",51.540319,-0.105474,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
254567,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, N1 1PW",51.541008,-0.104135,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
254550,Shell Recharge Solutions (UK),Operational,Shell Recharge Upper Street,"276 Upper Street, Islington, N1 2TZ",51.54062107083914,-0.10256820245967901,Public - Pay At Location,3,43.0,50.0,Rapid,Yes,No,No
254563,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, N1 1EJ",51.540673,-0.106904,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
254557,Shell Recharge Solutions (UK),Unknown,opp.,"opp., London, N1 1EP",51.540256,-0.108443,Public - Pay At Location,1,4.8,4.8,Slow,No,No,Yes
214401,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, N7 8PP",51.54618,-0.109644,Public - Pay At Location,1,4.8,4.8,Slow,No,No,Yes
254584,Shell Recharge Solutions (UK),Unknown,Opp.,"Opp., London, N1 1HH",51.543232,-0.107406,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
254585,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, N1 1HH",51.543246,-0.107771,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
136443,Shell Recharge Solutions (UK),Unknown,Liverpool Road,"Liverpool Road, London, N1 1NF",51.541763,-0.106168,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136441,Shell Recharge Solutions (UK),Unknown,Liverpool Rd 212C,"Liverpool Rd 212C, London, N1 1LE",51.541336,-0.106139,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136445,Shell Recharge Solutions (UK),Unknown,Liverpool Rd 303,"Liverpool Rd 303, London, N1 1NF",51.541925,-0.106414,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136448,Shell Recharge Solutions (UK),Unknown,Liverpool opp 244,"Liverpool opp 244, London, N1 1LG",51.542284,-0.106491,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136450,Shell Recharge Solutions (UK),Unknown,Liverpool Road,"Liverpool Road, London, N1 1LG",51.542403,-0.106364,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136460,Shell Recharge Solutions (UK),Unknown,Haslam Close,"Haslam Close, London, N1 1NJ",51.543438,-0.106739,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136464,Shell Recharge Solutions (UK),Unknown,Liverpool Rd 371,"Liverpool Rd 371, London, N1 1LW",51.544207,-0.107187,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
48056,Elektrobay (UK),Operational,Highbury Crescent,"Highbury Crescent, London, N5",51.5476827851183,-0.10435938835144,Public - Membership Required,1,7.0,7.0,Fast,No,Yes,No
268146,Total Energies (UK),Unknown,Highbury Crescent,"Opposite 1 Highbury Crescent, Islington, N5 1RN",51.546707,-0.103367,Public,1,7.0,7.0,Fast,No,Yes,No
